,compound,crystal structure type,target,IE(A),IE(B),Xp(A),Xp(B),IPF,x(A),x(B),coord_0,coord_1
0,Li,bcc,metal,5.391,5.391,0.98,0.98,2.4611,0.5,0.5,72.986,4.9222
1,Na,bcc,metal,5.138,5.138,0.93,0.93,2.0505,0.5,0.5,58.206,4.101
2,K,bcc,metal,4.34,4.34,0.82,0.82,2.1364,0.5,0.5,49.074,4.2728
3,Ba,bcc,metal,5.212,5.212,0.89,0.89,1.5203,0.5,0.5,46.403,3.0406
4,Ra,bcc,metal,5.279,5.279,0.97,0.97,1.5089,0.5,0.5,43.35,3.0178
5,Nb,bcc,metal,6.758,6.758,1.6,1.6,0.978,0.5,0.5,27.916,1.956
6,Ta,bcc,metal,7.887,7.887,1.5,1.5,0.8703,0.5,0.5,36.091,1.7406
7,Cr,bcc,metal,6.766,6.766,1.66,1.66,1.0667,0.5,0.5,29.417,2.1334
8,Mo,bcc,metal,7.092,7.092,2.16,2.16,1.0184,0.5,0.5,23.714,2.0368
9,W,bcc,metal,7.98,7.98,2.36,2.36,0.89,0.5,0.5,24.015,1.78
10,V,bcc,metal,6.746,6.746,1.63,1.63,0.9212,0.5,0.5,25.719,1.8424
11,Fe,bcc,metal,7.902,7.902,1.83,1.83,1.2165,0.5,0.5,41.508,2.433
12,Eu,bcc,metal,5.67,5.67,1.18,1.18,1.5144,0.5,0.5,41.26,3.0288
13,Tc,hcp,metal,7.275,7.275,1.9,1.9,1.0928,0.5,0.5,30.441,2.1856
14,Be,hcp,metal,9.322,9.322,1.57,1.57,2.1884,0.5,0.5,121.13,4.3768
15,Mg,hcp,metal,7.645,7.645,1.31,1.31,1.9792,0.5,0.5,88.303,3.9584
16,Sc,hcp,metal,6.561,6.561,1.36,1.36,1.2187,0.5,0.5,38.574,2.4374
17,Y,hcp,metal,6.218,6.218,1.22,1.22,1.1458,0.5,0.5,36.312,2.2916
18,Ti,hcp,metal,6.827,6.827,1.54,1.54,1.0211,0.5,0.5,30.903,2.0422
19,Zr,hcp,metal,6.634,6.634,1.33,1.33,1.0339,0.5,0.5,34.212,2.0678
20,Hf,hcp,metal,6.824,6.824,1.3,1.3,0.9938,0.5,0.5,35.599,1.9876
21,Re,hcp,metal,7.877,7.877,1.9,1.9,1.0068,0.5,0.5,32.878,2.0136
22,Ru,hcp,metal,7.361,7.361,2.22,2.22,1.1614,0.5,0.5,28.347,2.3228
23,Os,hcp,metal,8.706,8.706,2.2,2.2,1.0937,0.5,0.5,37.68,2.1874
24,Co,hcp,metal,7.88,7.88,1.88,1.88,1.3223,0.5,0.5,43.674,2.6446
25,Zn,hcp,metal,9.394,9.394,1.65,1.65,2.001,0.5,0.5,107.02,4.002
26,Cd,hcp,metal,8.994,8.994,1.69,1.69,1.7261,0.5,0.5,82.62,3.4522
27,Gd,hcp,metal,6.15,6.15,1.2,1.2,1.0488,0.5,0.5,33.057,2.0976
28,Tb,hcp,metal,5.864,5.864,1.21,1.21,1.0489,0.5,0.5,29.808,2.0978
29,Dy,hcp,metal,5.938,5.938,1.22,1.22,1.0645,0.5,0.5,30.766,2.129
30,Ho,hcp,metal,6.021,6.021,1.23,1.23,1.0503,0.5,0.5,30.956,2.1006
31,Er,hcp,metal,6.107,6.107,1.24,1.24,1.0859,0.5,0.5,32.661,2.1718
32,Tm,hcp,metal,6.184,6.184,1.25,1.25,1.0473,0.5,0.5,32.041,2.0946
33,Lu,hcp,metal,5.425,5.425,1.27,1.27,1.0766,0.5,0.5,24.949,2.1532
34,Ca,fcc,metal,6.112,6.112,1.0,1.0,1.907,0.5,0.5,71.239,3.814
35,Sr,fcc,metal,5.695,5.695,0.95,0.95,1.811,0.5,0.5,61.828,3.622
36,Rh,fcc,metal,7.459,7.459,2.28,2.28,1.1431,0.5,0.5,27.894,2.2862
37,Ir,fcc,metal,9.121,9.121,2.2,2.2,1.2059,0.5,0.5,45.601,2.4118
38,Ni,fcc,metal,7.639,7.639,1.91,1.91,1.3648,0.5,0.5,41.697,2.7296
39,Pd,fcc,metal,8.337,8.337,2.2,2.2,1.3067,0.5,0.5,41.283,2.6134
40,Pt,fcc,metal,9.017,9.017,2.28,2.28,1.4321,0.5,0.5,51.07,2.8642
41,Cu,fcc,metal,7.726,7.726,1.9,1.9,1.2259,0.5,0.5,38.513,2.4518
42,Ag,fcc,metal,7.576,7.576,1.93,1.93,1.3352,0.5,0.5,39.707,2.6704
43,Au,fcc,metal,9.225,9.225,2.54,2.54,1.6087,0.5,0.5,53.898,3.2174
44,Al,fcc,metal,5.985,5.985,1.61,1.61,2.2329,0.5,0.5,49.679,4.4658
45,Ce,fcc,metal,5.538,5.538,1.12,1.12,0.9665,0.5,0.5,26.466,1.933
46,Yb,fcc,metal,6.253,6.253,1.25,1.25,1.5049,0.5,0.5,47.073,3.0098
47,Ac,fcc,metal,5.172,5.172,1.1,1.1,0.8996,0.5,0.5,21.876,1.7992
48,Th,fcc,metal,6.083,6.083,1.3,1.3,0.8985,0.5,0.5,25.575,1.797
49,Pr,dhcp,metal,5.461,5.461,1.13,1.13,0.9854,0.5,0.5,26.006,1.9708
50,Nd,dhcp,metal,5.525,5.525,1.14,1.14,1.0025,0.5,0.5,26.844,2.005
51,La,dhcp,metal,5.577,5.577,1.1,1.1,0.921,0.5,0.5,26.042,1.842
52,Am,dhcp,metal,5.991,5.991,1.3,1.3,1.0803,0.5,0.5,29.826,2.1606
53,Cm,dhcp,metal,6.022,6.022,1.3,1.3,1.512,0.5,0.5,42.178,3.024
54,Pa,tetragonal,metal,5.887,5.887,1.5,1.5,0.7442,0.5,0.5,17.194,1.4884
55,Hg,rhombohedral,metal,10.43,10.43,2.0,2.0,2.3946,0.5,0.5,130.25,4.7892
56,Ga,orthorhombic,metal,5.998,5.998,1.81,1.81,2.5663,0.5,0.5,51.008,5.1326
57,Tl,hcp,metal,6.108,6.108,1.62,1.62,2.2404,0.5,0.5,51.595,4.4808
58,Sn,tetragonal,metal,7.344,7.344,1.96,1.96,2.4046,0.5,0.5,66.169,4.8092
59,Pb,fcc,metal,7.416,7.416,2.33,2.33,2.3259,0.5,0.5,54.9,4.6518
60,In,tetragonal,metal,5.786,5.786,1.78,1.78,2.172,0.5,0.5,40.85,4.344
61,Pu,monoclinic,metal,6.059,6.059,1.28,1.28,0.7313,0.5,0.5,20.974,1.4626
62,Np,orthorhombic,metal,6.265,6.265,1.36,1.36,0.6686,0.5,0.5,19.296,1.3372
63,U,orthorhombic,metal,6.193,6.193,1.38,1.38,0.6579,0.5,0.5,18.284,1.3158
64,Cr3Ge,Cr3Si,metal,6.766,7.897,1.66,2.01,1.2069,0.75,0.25,45.341,5.8455
65,Cr3Si,Cr3Si,metal,6.766,8.151,1.66,1.9,1.2088,0.75,0.25,48.38,5.5343
66,Nb3Ga,Cr3Si,metal,6.758,5.998,1.6,1.81,1.0967,0.75,0.25,24.659,4.9626
67,V3Ga,Cr3Si,metal,6.746,5.998,1.63,1.81,1.0622,0.75,0.25,23.444,4.718
68,Mo3Ga,Cr3Si,metal,7.092,5.998,2.16,1.81,1.1212,0.75,0.25,18.674,3.7581
69,Nb3Ge,Cr3Si,metal,6.758,7.897,1.6,2.01,1.0981,0.75,0.25,42.8,5.518
70,V3Ge,Cr3Si,metal,6.746,7.897,1.63,2.01,1.0485,0.75,0.25,40.115,5.1717
71,Mo3Si,Cr3Si,metal,7.092,8.151,2.16,1.9,1.1325,0.75,0.25,34.834,3.9847
72,Nb3Sb,Cr3Si,metal,6.758,8.643,1.6,2.05,1.0932,0.75,0.25,51.04,5.6026
73,Nb3Sn,Cr3Si,metal,6.758,7.344,1.6,1.96,1.1082,0.75,0.25,37.356,5.4302
74,V3Sn,Cr3Si,metal,6.746,7.344,1.63,1.96,1.0715,0.75,0.25,35.454,5.1537
75,LaBi,NaCl,metal,5.577,7.286,1.1,2.02,1.4232,0.5,0.5,68.683,5.227
76,HfC,NaCl,metal,6.824,11.26,1.3,2.55,1.0283,0.5,0.5,100.29,4.0341
77,ZrC,NaCl,metal,6.634,11.26,1.33,2.55,1.0673,0.5,0.5,101.74,4.0927
78,LaSb,NaCl,metal,5.577,8.643,1.1,2.05,1.4119,0.5,0.5,95.883,5.2625
79,YSb,NaCl,metal,6.218,8.643,1.22,2.05,1.4816,0.5,0.5,90.719,4.9791
80,ThC,NaCl,metal,6.083,11.26,1.3,2.55,0.9788,0.5,0.5,95.461,3.8399
81,YSe,NaCl,metal,6.218,9.752,1.22,2.55,1.2899,0.5,0.5,100.55,5.3922
82,CeAs,NaCl,metal,5.538,9.814,1.12,2.18,1.3184,0.5,0.5,113.38,5.1323
83,ErAs,NaCl,metal,6.107,9.814,1.24,2.18,1.3323,0.5,0.5,103.48,4.6845
84,GdAs,NaCl,metal,6.15,9.814,1.2,2.18,1.3047,0.5,0.5,104.72,4.7404
85,TbAs,NaCl,metal,5.864,9.814,1.21,2.18,1.3093,0.5,0.5,104.22,4.7178
86,YbAs,NaCl,metal,6.253,9.814,1.25,2.18,1.3397,0.5,0.5,103.23,4.6729
87,CeBi,NaCl,metal,5.538,7.286,1.12,2.02,1.4296,0.5,0.5,67.76,5.1568
88,DyBi,NaCl,metal,5.938,7.286,1.22,2.02,1.412,0.5,0.5,61.44,4.6758
89,ErBi,NaCl,metal,6.107,7.286,1.24,2.02,1.4248,0.5,0.5,60.997,4.6421
90,GdBi,NaCl,metal,6.15,7.286,1.2,2.02,1.3921,0.5,0.5,61.584,4.6867
91,PrBi,NaCl,metal,5.461,7.286,1.13,2.02,1.3926,0.5,0.5,65.422,4.9789
92,CrC,NaCl,metal,6.766,11.26,1.66,2.55,1.2502,0.5,0.5,95.488,3.841
93,FeC,NaCl,metal,7.902,11.26,1.83,2.55,2.0935,0.5,0.5,145.04,5.8343
94,ScC,NaCl,metal,6.561,11.26,1.36,2.55,1.023,0.5,0.5,95.37,3.8362
95,TaC,NaCl,metal,7.887,11.26,1.5,2.55,0.984,0.5,0.5,83.173,3.3456
96,VC,NaCl,metal,6.746,11.26,1.63,2.55,1.0733,0.5,0.5,83.485,3.3582
97,CeN,NaCl,metal,5.538,14.53,1.12,3.04,0.8554,0.5,0.5,161.24,4.6436
98,CeP,NaCl,metal,5.538,10.48,1.12,2.19,1.2824,0.5,0.5,125.76,5.0151
99,CeS,NaCl,metal,5.538,10.36,1.12,2.58,1.1872,0.5,0.5,113.77,5.4696
100,CeSb,NaCl,metal,5.538,8.643,1.12,2.05,1.4198,0.5,0.5,94.697,5.1975
101,CeSe,NaCl,metal,5.538,9.752,1.12,2.55,1.2504,0.5,0.5,106.17,5.6938
102,CeTe,NaCl,metal,5.538,9.009,1.12,2.1,1.3823,0.5,0.5,100.17,5.1836
103,DyS,NaCl,metal,5.938,10.36,1.22,2.58,1.1874,0.5,0.5,104.46,5.0221
104,DySb,NaCl,metal,5.938,8.643,1.22,2.05,1.4289,0.5,0.5,87.493,4.802
105,ErP,NaCl,metal,6.107,10.48,1.24,2.19,1.3141,0.5,0.5,116.39,4.6417
106,ErS,NaCl,metal,6.107,10.36,1.24,2.58,1.2082,0.5,0.5,104.58,5.0277
107,ErSb,NaCl,metal,6.107,8.643,1.24,2.05,1.4355,0.5,0.5,86.479,4.7464
108,ErSe,NaCl,metal,6.107,9.752,1.24,2.55,1.2736,0.5,0.5,97.678,5.2382
109,GdP,NaCl,metal,6.15,10.48,1.2,2.19,1.2812,0.5,0.5,117.26,4.6764
110,GdSb,NaCl,metal,6.15,8.643,1.2,2.05,1.3992,0.5,0.5,87.102,4.7806
111,GdSe,NaCl,metal,6.15,9.752,1.2,2.55,1.2423,0.5,0.5,98.454,5.2798
112,GdTe,NaCl,metal,6.15,9.009,1.2,2.1,1.3601,0.5,0.5,91.99,4.7604
113,PdH,NaCl,metal,8.337,13.59,2.2,2.2,1.4386,0.5,0.5,120.77,2.8772
114,RhH,NaCl,metal,7.459,13.59,2.28,2.2,1.3302,0.5,0.5,107.75,2.5671
115,HfN,NaCl,metal,6.824,14.53,1.3,3.04,0.9576,0.5,0.5,155.51,4.4786
116,HoP,NaCl,metal,6.021,10.48,1.23,2.19,1.2759,0.5,0.5,113.93,4.5434
117,HoS,NaCl,metal,6.021,10.36,1.23,2.58,1.1835,0.5,0.5,103.27,4.9649
118,HoSb,NaCl,metal,6.021,8.643,1.23,2.05,1.4081,0.5,0.5,85.518,4.6937
119,LaSe,NaCl,metal,5.577,9.752,1.1,2.55,1.2434,0.5,0.5,107.5,5.7649
120,LaTe,NaCl,metal,5.577,9.009,1.1,2.1,1.3838,0.5,0.5,102.1,5.2836
121,LuS,NaCl,metal,5.425,10.36,1.27,2.58,1.2008,0.5,0.5,101.48,4.8788
122,TcN,NaCl,metal,7.275,14.53,1.9,3.04,1.0646,0.5,0.5,118.29,3.4067
123,YbN,NaCl,metal,6.253,14.53,1.25,3.04,0.9498,0.5,0.5,160.42,4.6198
124,NdS,NaCl,metal,5.525,10.36,1.14,2.58,1.1913,0.5,0.5,112.16,5.3922
125,NdSb,NaCl,metal,5.525,8.643,1.14,2.05,1.3942,0.5,0.5,91.359,5.0142
126,NdSe,NaCl,metal,5.525,9.752,1.14,2.55,1.2446,0.5,0.5,103.83,5.5679
127,NdTe,NaCl,metal,5.525,9.009,1.14,2.1,1.353,0.5,0.5,96.327,4.9847
128,SmO,NaCl,metal,5.643,13.61,1.17,3.44,0.9368,0.5,0.5,148.31,5.5087
129,TbP,NaCl,metal,5.864,10.48,1.21,2.19,1.2895,0.5,0.5,117.05,4.6678
130,YbP,NaCl,metal,6.253,10.48,1.25,2.19,1.3113,0.5,0.5,115.22,4.5948
131,PbPo,NaCl,metal,7.416,8.416,2.33,2.0,2.9167,0.5,0.5,88.664,5.0072
132,PrS,NaCl,metal,5.461,10.36,1.13,2.58,1.1902,0.5,0.5,113.05,5.4349
133,PrSb,NaCl,metal,5.461,8.643,1.13,2.05,1.4025,0.5,0.5,92.716,5.0887
134,PrTe,NaCl,metal,5.461,9.009,1.13,2.1,1.3679,0.5,0.5,98.249,5.0842
135,ScS,NaCl,metal,6.561,10.36,1.36,2.58,1.376,0.5,0.5,108.59,5.2207
136,TbS,NaCl,metal,5.864,10.36,1.21,2.58,1.1841,0.5,0.5,105.03,5.0496
137,TmS,NaCl,metal,6.184,10.36,1.25,2.58,1.1841,0.5,0.5,101.67,4.888
138,YS,NaCl,metal,6.218,10.36,1.22,2.58,1.2346,0.5,0.5,108.61,5.2218
139,TbSb,NaCl,metal,5.864,8.643,1.21,2.05,1.4037,0.5,0.5,86.66,4.7563
140,TmSb,NaCl,metal,6.184,8.643,1.25,2.05,1.4124,0.5,0.5,84.407,4.6327
141,ThP,NaCl,metal,6.083,10.48,1.3,2.19,1.1878,0.5,0.5,100.35,4.002
142,ThS,NaCl,metal,6.083,10.36,1.3,2.58,1.1083,0.5,0.5,91.503,4.3991
143,ThSb,NaCl,metal,6.083,8.643,1.3,2.05,1.3172,0.5,0.5,75.69,4.1542
144,ThSe,NaCl,metal,6.083,9.752,1.3,2.55,1.1589,0.5,0.5,84.779,4.5465
145,ThAs,NaCl,metal,6.083,9.814,1.3,2.18,1.2228,0.5,0.5,90.595,4.1011
146,UC,NaCl,metal,6.193,11.26,1.38,2.55,0.9139,0.5,0.5,83.965,3.3775
147,UN,NaCl,metal,6.193,14.53,1.38,3.04,0.8837,0.5,0.5,135.19,3.8934
148,USe,NaCl,metal,6.193,9.752,1.38,2.55,1.2308,0.5,0.5,84.82,4.5486
149,UTe,NaCl,metal,6.193,9.009,1.38,2.1,1.3761,0.5,0.5,80.933,4.1881
150,NpAs,NaCl,metal,6.265,9.814,1.36,2.18,1.3884,0.5,0.5,98.326,4.451
151,NpC,NaCl,metal,6.265,11.26,1.36,2.55,1.0235,0.5,0.5,95.417,3.8381
152,NpN,NaCl,metal,6.265,14.53,1.36,3.04,0.9849,0.5,0.5,152.89,4.4031
153,NpP,NaCl,metal,6.265,10.48,1.36,2.19,1.3077,0.5,0.5,105.61,4.2116
154,NpSb,NaCl,metal,6.265,8.643,1.36,2.05,1.5281,0.5,0.5,83.935,4.6068
155,NpTe,NaCl,metal,6.265,9.009,1.36,2.1,1.5008,0.5,0.5,89.565,4.6348
156,PuBi,NaCl,metal,6.059,7.286,1.28,2.02,1.5624,0.5,0.5,64.798,4.9313
157,PuC,NaCl,metal,6.059,11.26,1.28,2.55,1.0525,0.5,0.5,104.25,4.1936
158,PuN,NaCl,metal,6.059,14.53,1.28,3.04,1.0218,0.5,0.5,168.53,4.8536
159,PuP,NaCl,metal,6.059,10.48,1.28,2.19,1.3141,0.5,0.5,112.76,4.4967
160,PuS,NaCl,metal,6.059,10.36,1.28,2.58,1.3199,0.5,0.5,110.68,5.3208
161,PuSb,NaCl,metal,6.059,8.643,1.28,2.05,1.5705,0.5,0.5,91.655,5.0305
162,La4As3,iTh3P,metal,5.577,9.814,1.1,2.18,1.1477,0.571,0.429,100.49,5.3019
163,La4Sb3,iTh3P,metal,5.577,8.643,1.1,2.05,1.2338,0.571,0.429,83.788,5.3598
164,Sm4As3,iTh3P,metal,5.643,9.814,1.17,2.18,1.1404,0.571,0.429,93.878,4.953
165,Ce4Bi3,iTh3P,metal,5.538,7.286,1.12,2.02,1.2369,0.571,0.429,58.627,5.2001
166,Eu4Bi3,iTh3P,metal,5.67,7.286,1.18,2.02,1.4637,0.571,0.429,65.849,5.8407
167,Gd4Bi3,iTh3P,metal,6.15,7.286,1.2,2.02,1.2386,0.571,0.429,54.793,4.8601
168,Nd4Bi3,iTh3P,metal,5.525,7.286,1.14,2.02,1.2316,0.571,0.429,57.351,5.087
169,Pr4Bi3,iTh3P,metal,5.461,7.286,1.13,2.02,1.2227,0.571,0.429,57.441,5.0949
170,Tb4Bi3,iTh3P,metal,5.864,7.286,1.21,2.02,1.2419,0.571,0.429,54.485,4.8328
171,Yb4Bi3,iTh3P,metal,6.253,7.286,1.25,2.02,1.4351,0.571,0.429,60.947,5.4059
172,Ce4Sb3,iTh3P,metal,5.538,8.643,1.12,2.05,1.2221,0.571,0.429,81.511,5.2142
173,Dy4Sb3,iTh3P,metal,5.938,8.643,1.22,2.05,1.2424,0.571,0.429,76.073,4.8663
174,Gd4Sb3,iTh3P,metal,6.15,8.643,1.2,2.05,1.2254,0.571,0.429,76.283,4.8797
175,Nd4Sb3,iTh3P,metal,5.525,8.643,1.14,2.05,1.215,0.571,0.429,79.616,5.0929
176,Pr4Sb3,iTh3P,metal,5.461,8.643,1.13,2.05,1.1788,0.571,0.429,77.927,4.9849
177,Sm4Sb3,iTh3P,metal,5.643,8.643,1.17,2.05,1.2276,0.571,0.429,78.379,5.0138
178,Tb4Sb3,iTh3P,metal,5.864,8.643,1.21,2.05,1.2351,0.571,0.429,76.251,4.8777
179,U3As4,Th3P4,metal,6.193,9.814,1.38,2.18,1.2608,0.429,0.571,87.995,3.4881
180,Th3Bi4,Th3P4,metal,6.083,7.286,1.3,2.02,1.3314,0.429,0.571,54.368,3.6231
181,Gd3Sb4,Th3P4,metal,6.15,8.643,1.2,2.05,1.4071,0.429,0.571,87.594,4.2098
182,La3Se4,Th3P4,metal,5.577,9.752,1.1,2.55,1.1167,0.429,0.571,96.545,4.5336
